date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-23,Liberia,6.4281,-9.4295,0,0,0,0,0.0,0.0,50.57677
2020-01-23,Libya,26.3351,17.228331,0,0,0,0,0.0,0.0,68.71286
2020-01-23,Liechtenstein,47.14,9.55,0,0,0,0,0.0,0.0,0.38137
2020-01-23,Lithuania,55.1694,23.8813,0,0,0,0,0.0,0.0,27.2229
2020-01-23,Luxembourg,49.8153,6.1296,0,0,0,0,0.0,0.0,6.25976
2020-01-23,MS Zaandam,0.0,0.0,0,0,0,0,0.0,0.0,
2020-01-23,Madagascar,-18.7669,46.8691,0,0,0,0,0.0,0.0,276.91019
2020-01-23,Malawi,-13.254307999999998,34.301525,0,0,0,0,0.0,0.0,191.29955
2020-01-23,Malaysia,2.5,112.5,0,0,0,0,0.0,0.0,323.65998
2020-01-23,Maldives,3.2028,73.2207,0,0,0,0,0.0,0.0,5.40541
2020-01-23,Mali,17.570692,-3.996166000000001,0,0,0,0,0.0,0.0,202.50834
2020-01-23,Malta,35.9375,14.3754,0,0,0,0,0.0,0.0,4.41539
2020-01-23,Mauritania,21.0079,10.9408,0,0,0,0,0.0,0.0,46.4966
2020-01-23,Mauritius,-20.2,57.5,0,0,0,0,0.0,0.0,12.71767
2020-01-23,Mexico,23.6345,-102.5528,0,0,0,0,0.0,0.0,1289.32753
2020-01-23,Moldova,47.4116,28.3699,0,0,0,0,0.0,0.0,40.33962
2020-01-23,Monaco,43.7333,7.4167,0,0,0,0,0.0,0.0,0.39244
2020-01-23,Mongolia,46.8625,103.8467,0,0,0,0,0.0,0.0,32.78292
2020-01-23,Montenegro,42.5,19.3,0,0,0,0,0.0,0.0,6.28062
2020-01-23,Morocco,31.7917,-7.0926,0,0,0,0,0.0,0.0,369.10558
2020-01-23,Mozambique,-18.6657,35.5296,0,0,0,0,0.0,0.0,312.55435
2020-01-23,Namibia,-22.9576,18.4904,0,0,0,0,0.0,0.0,25.40916
2020-01-23,Nepal,28.1667,84.25,0,0,0,0,0.0,0.0,291.36807
2020-01-23,Netherlands,52.1326,5.2913,0,0,0,0,0.0,0.0,171.34873
2020-01-23,New Zealand,-40.9006,174.886,0,0,0,0,0.0,0.0,48.22233
