date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-13,Nova Scotia,474,3,0,44.682,-63.7443,471
2020-04-13,Ontario,7470,291,0,51.2538,-85.3232,7179
2020-04-13,Quebec,13557,360,0,52.9399,-73.5491,13197
2020-04-13,Saskatchewan,300,4,0,52.9399,-106.4509,296
2020-04-13,Yukon,8,0,0,64.2823,-135.0,8
2020-04-14,Alberta,1870,48,0,53.9333,-116.5765,1822
2020-04-14,Manitoba,246,4,0,53.7609,-98.8139,242
2020-04-14,New Brunswick,116,0,0,46.5653,-66.4619,116
2020-04-14,Nova Scotia,517,3,0,44.682,-63.7443,514
2020-04-14,Ontario,7953,334,0,51.2538,-85.3232,7619
2020-04-14,Quebec,14248,435,0,52.9399,-73.5491,13813
2020-04-14,Saskatchewan,300,4,0,52.9399,-106.4509,296
2020-04-14,Yukon,8,0,0,64.2823,-135.0,8
2020-04-15,Alberta,1870,48,0,53.9333,-116.5765,1822
2020-04-15,Manitoba,246,5,0,53.7609,-98.8139,241
2020-04-15,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-15,Nova Scotia,549,3,0,44.682,-63.7443,546
2020-04-15,Ontario,8447,385,0,51.2538,-85.3232,8062
2020-04-15,Quebec,14860,487,0,52.9399,-73.5491,14373
2020-04-15,Saskatchewan,304,4,0,52.9399,-106.4509,300
2020-04-15,Yukon,8,0,0,64.2823,-135.0,8
2020-04-16,Alberta,1996,48,0,53.9333,-116.5765,1948
2020-04-16,Manitoba,250,5,0,53.7609,-98.8139,245
2020-04-16,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-16,Nova Scotia,579,3,0,44.682,-63.7443,576
2020-04-16,Ontario,9840,490,0,51.2538,-85.3232,9350
2020-04-16,Quebec,15857,630,0,52.9399,-73.5491,15227
2020-04-16,Saskatchewan,305,4,0,52.9399,-106.4509,301
2020-04-16,Yukon,8,0,0,64.2823,-135.0,8
2020-04-17,Alberta,2397,50,0,53.9333,-116.5765,2347
2020-04-17,Manitoba,250,5,0,53.7609,-98.8139,245
2020-04-17,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-17,Nova Scotia,606,4,0,44.682,-63.7443,602
2020-04-17,Ontario,10456,524,0,51.2538,-85.3232,9932
2020-04-17,Quebec,16798,688,0,52.9399,-73.5491,16110
2020-04-17,Saskatchewan,307,4,0,52.9399,-106.4509,303
2020-04-17,Yukon,8,0,0,64.2823,-135.0,8
2020-04-18,Alberta,2562,51,0,53.9333,-116.5765,2511
2020-04-18,Manitoba,253,5,0,53.7609,-98.8139,248
2020-04-18,New Brunswick,117,0,0,46.5653,-66.4619,117
2020-04-18,Nova Scotia,649,7,0,44.681999999999995,-63.7443,642
2020-04-18,Ontario,11013,564,0,51.2538,-85.3232,10449
2020-04-18,Quebec,17521,688,0,52.9399,-73.5491,16833
2020-04-18,Saskatchewan,313,4,0,52.9399,-106.4509,309
2020-04-18,Yukon,9,0,0,64.2823,-135.0,9
2020-04-19,Alberta,2803,51,0,53.9333,-116.5765,2752
2020-04-19,Manitoba,254,5,0,53.7609,-98.8139,249
2020-04-19,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-19,Nova Scotia,675,9,0,44.681999999999995,-63.7443,666
2020-04-19,Ontario,11561,591,0,51.2538,-85.3232,10970
2020-04-19,Quebec,17950,820,0,52.9399,-73.5491,17130
2020-04-19,Saskatchewan,315,4,0,52.9399,-106.4509,311
2020-04-19,Yukon,9,0,0,64.2823,-135.0,9
2020-04-20,Alberta,2908,59,0,53.9333,-116.5765,2849
2020-04-20,Manitoba,254,6,0,53.7609,-98.8139,248
2020-04-20,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-20,Nova Scotia,721,9,0,44.682,-63.7443,712
2020-04-20,Ontario,12063,624,0,51.2538,-85.3232,11439
2020-04-20,Quebec,19319,939,0,52.9399,-73.5491,18380
2020-04-20,Saskatchewan,316,4,0,52.9399,-106.4509,312
2020-04-20,Yukon,11,0,0,64.2823,-135.0,11
2020-04-21,Alberta,3095,61,0,53.9333,-116.5765,3034
2020-04-21,Manitoba,255,6,0,53.7609,-98.8139,249
2020-04-21,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-21,Nova Scotia,737,10,0,44.682,-63.7443,727
2020-04-21,Ontario,12715,694,0,51.2538,-85.3232,12021
2020-04-21,Quebec,20126,1044,0,52.9399,-73.5491,19082
2020-04-21,Saskatchewan,320,4,0,52.9399,-106.4509,316
2020-04-21,Yukon,11,0,0,64.2823,-135.0,11
2020-04-22,Alberta,3401,66,0,53.9333,-116.5765,3335
2020-04-22,Manitoba,257,6,0,53.7609,-98.8139,251
2020-04-22,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-22,Nova Scotia,772,12,0,44.682,-63.7443,760
2020-04-22,Ontario,13718,762,0,51.2538,-85.3232,12956
2020-04-22,Quebec,20965,1134,0,52.9399,-73.5491,19831
2020-04-22,Saskatchewan,326,4,0,52.9399,-106.4509,322
2020-04-22,Yukon,11,0,0,64.2823,-135.0,11
2020-04-23,Alberta,3720,68,0,53.9333,-116.5765,3652
2020-04-23,Manitoba,262,6,0,53.7609,-98.8139,256
2020-04-23,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-23,Nova Scotia,827,16,0,44.682,-63.7443,811
2020-04-23,Ontario,14068,806,0,51.2538,-85.3232,13262
2020-04-23,Quebec,21838,1243,0,52.9399,-73.5491,20595
2020-04-23,Saskatchewan,331,4,0,52.9399,-106.4509,327
2020-04-23,Yukon,11,0,0,64.2823,-135.0,11
2020-04-24,Alberta,4017,72,0,53.9333,-116.5765,3945
2020-04-24,Manitoba,263,6,0,53.7609,-98.8139,257
2020-04-24,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-24,Ontario,14550,862,0,51.2538,-85.3232,13688
